share-of-plastic-waste-that-is-mismanaged
Entity,Code,Year,Total population,Coastal population,Coastal population density(/km^2),% mismanaged from total regional waste,Mismanaged waste(tonnes),Oceans plastic leakage (y)
Americas (excl. USA),,2000,239839213,170000000,77.27,32.366478,5291803,1104799
Americas (excl. USA),,2001,244346221,171700000,78.05,32.316288,5561646,1198096
Americas (excl. USA),,2002,248656910,173300000,78.77,32.274937,5928127,1298042
Americas (excl. USA),,2003,252779849,175000000,79.55,32.21104,6267913,1404860
Americas (excl. USA),,2004,256707668,176700000,80.32,32.14493,6659430,1519021
Americas (excl. USA),,2005,260495520,178300000,81.05,32.050804,6974482,1640651
Americas (excl. USA),,2006,260495520,180000000,81.82,31.962135,7383156,1770202
Americas (excl. USA),,2007,267623776,181700000,82.59,31.860903,7809969,1908201
Americas (excl. USA),,2008,271078770,183300000,83.32,31.693562,7904060,2053799
Americas (excl. USA),,2009,274521894,185000000,84.09,31.54849,8187670,2207340
Americas (excl. USA),,2010,277845053,186700000,84.86,31.383505,8665047,2369481
Americas (excl. USA),,2011,281137610,188300000,85.59,31.184473,8984177,2540054
Americas (excl. USA),,2012,284461566,190000000,86.36,30.981876,9241368,2719229
Americas (excl. USA),,2013,287726741,191700000,87.14,30.75433,9541549,2906963
Americas (excl. USA),,2014,290899859,193300000,87.86,30.537634,9731705,3103082
Americas (excl. USA),,2015,293916112,195000000,88.64,30.253029,10219736,3308621
Americas (excl. USA),,2016,296743217,196700000,89.41,29.86235,10295320,3522357
Americas (excl. USA),,2017,299370774,198300000,90.14,29.4964,10447519,3744266
Americas (excl. USA),,2018,301955663,200000000,90.91,29.118078,10687745,3974368
Americas (excl. USA),,2019,304405469,201700000,91.68,28.854757,10889096,4212359
Asia (excl. China and India),,2000,1420276396,500000000,125.0,36.550335,6338147,1815446
Asia (excl. China and India),,2001,1442294488,504400000,126.1,36.53316,6777017,1982829
Asia (excl. China and India),,2002,1463873715,508900000,127.22,36.484272,7325337,2163942
Asia (excl. China and India),,2003,1485478577,513300000,128.32,36.420143,7859445,2359297
Asia (excl. China and India),,2004,1507304308,517800000,129.45,36.334866,8460540,2569963
Asia (excl. China and India),,2005,1529223129,522200000,130.55,36.239277,8992124,2795849
Asia (excl. China and India),,2006,1551892775,526700000,131.68,36.120438,9635957,3038253
Asia (excl. China and India),,2007,1575147310,531100000,132.78,35.98788,10315499,3298208
Asia (excl. China and India),,2008,1598606405,535600000,133.9,35.881344,10653335,3573056
Asia (excl. China and India),,2009,1621891203,540000000,135.0,35.742115,11206513,3863437
Asia (excl. China and India),,2010,1644779595,544400000,136.1,35.583668,12033065,4171954
Asia (excl. China and India),,2011,1668020778,548900000,137.22,35.358128,12696793,4498576
Asia (excl. China and India),,2012,1691413438,553300000,138.32,35.172848,13292359,4842883
Asia (excl. China and India),,2013,1714103608,557800000,139.45,34.942352,13953078,5206199
Asia (excl. China and India),,2014,1736717126,562200000,140.55,34.757786,14588460,5588882
Asia (excl. China and India),,2015,1759149221,566700000,141.68,34.54129,15390881,5992579
Asia (excl. China and India),,2016,1780418255,571100000,142.78,34.352688,16068582,6416541
Asia (excl. China and India),,2017,1800466687,575600000,143.9,34.15653,16874328,6862213
