Entity,Coastal population,Total mismanaged plastic waste in 2010,Mismanaged_Waste_Index
Albania,2530533.0,29705,0.45
Algeria,16556580.0,520555,0.58
Angola,3790041.0,62528,0.71
Anguilla,14561.0,52,0.02
Antigua and Barbuda,66843.0,1253,0.06
Argentina,16449245.0,157777,0.12
Aruba,137910.0,372,0.01
Australia,17235954.0,13889,0.0
Bahamas,341145.0,1333,0.01
Bahrain,743574.0,4376,0.1
Bangladesh,70874124.0,787327,0.87
Barbados,276784.0,3483,0.04
Belgium,4747957.0,2743,0.0
Belize,202429.0,3892,0.29
Benin,3235418.0,43015,0.83
Bermuda,66966.0,123,0.0
Bosnia and Herzegovina,585582.0,12955,0.4
Brazil,74696771.0,471404,0.09
British Virgin Islands,29674.0,55,0.0
Brunei,359871.0,93,0.01
Bulgaria,1002695.0,18739,0.31
Cambodia,1391254.0,29686,0.87
Cameroon,1986723.0,27713,0.81
Canada,11846863.0,7959,0.0
Cape Verde,522245.0,9347,0.74
Cayman Islands,51864.0,95,0.0
Channel Islands,153352.0,281,0.0
Chile,5621550.0,21754,0.07
China,262892387.0,8819717,0.74
Christmas Island,1402.0,3,0.0
Cocos Islands,596.0,1,0.0
Colombia,7498563.0,92173,0.21
Comoros,938595.0,58032,0.83
Congo,847807.0,16766,0.77
Cook Islands,20934.0,416,0.36
Costa Rica,2479298.0,42090,0.16
Cote d'Ivoire,6230583.0,194558,0.82
Croatia,1602782.0,16461,0.09
Cuba,11333471.0,90630,0.23
Curacao,143784.0,268,0.0
Cyprus,840556.0,1821,0.0
Democratic Republic of Congo,1076056.0,15208,0.85
Denmark,5376386.0,1791,0.0
Djibouti,621744.0,17324,0.73
Dominica,70138.0,783,0.19
Dominican Republic,8232586.0,118226,0.25
Ecuador,6400048.0,109383,0.3
Egypt,21750943.0,967012,0.67
El Salvador,6410726.0,118732,0.33
Equatorial Guinea,351600.0,5977,0.3
Eritrea,1266222.0,16259,0.77
Estonia,878021.0,5979,0.09
Faeroe Islands,50554.0,93,0.0
Falkland Islands,2602.0,5,0.0
Fiji,896145.0,49257,0.78
Finland,2927674.0,4985,0.0
France,17287280.0,24109,0.0
French Guiana,167631.0,2360,0.25
French Polynesia,270618.0,1286,0.03
Gabon,862328.0,6087,0.34
Gambia,1324214.0,19616,0.84
Georgia,1124249.0,14472,0.51
Germany,8837035.0,31239,0.0
Ghana,7727702.0,91571,0.81
Gibraltar,33483.0,65,0.0
Greece,9794702.0,14229,0.0
Greenland,57068.0,105,0.0
Grenada,96121.0,2248,0.18
Guadeloupe,466166.0,6564,0.25
Guam,190809.0,393,0.0
Guatemala,2392442.0,91563,0.36
Guernsey,56289.0,103,0.0
Guinea,1996496.0,18514,0.84
Guinea-Bissau,1208106.0,20240,0.83
Guyana,513235.0,42002,0.36
Haiti,9155693.0,147389,0.47
Honduras,3324144.0,95638,0.4
Hong Kong,7573074.0,28512,0.01
Iceland,292708.0,598,0.0
India,187493433.0,599819,0.85
Indonesia,187223476.0,3216856,0.81
Iran,9099695.0,247403,0.5
Iraq,639228.0,15563,0.63
Ireland,3749576.0,11710,0.0
Israel,6677810.0,19007,0.01
Italy,33822532.0,32761,0.0
Jamaica,2820558.0,10019,0.27
Japan,115228891.0,143121,0.0
Jordan,55392.0,1737,0.58
Kenya,2729945.0,22658,0.83
Kiribati,94487.0,3045,0.84
Kuwait,2293604.0,11489,0.0
Latvia,1432078.0,10284,0.14
Lebanon,3890871.0,47815,0.34
Liberia,2148271.0,56728,0.84
Libya,4050128.0,52779,0.23
Lithuania,443894.0,3479,0.14
Macao,257911.0,698,0.0
Madagascar,7062413.0,34522,0.84
Malaysia,22890252.0,936818,0.55
Maldives,392567.0,31469,0.66
Malta,404707.0,2620,0.06
Marshall Islands,58086.0,3187,0.77
Martinique,402257.0,749,0.0
Mauritania,1005481.0,13854,0.82
Mauritius,1255952.0,56051,0.51
Mexico,22647771.0,101343,0.12
Micronesia (country),154895.0,4794,0.81
Monaco,34050.0,62,0.0
Montenegro,260336.0,4416,0.3
Montserrat,5173.0,38,0.12
Morocco,17303431.0,310126,0.66
Mozambique,9566559.0,45995,0.84
Myanmar,18988522.0,458269,0.87
Namibia,155084.0,5480,0.66
Nauru,15289.0,554,0.67
Netherlands,8971770.0,27700,0.0
Netherlands Antilles,227165.0,416,0.0
New Caledonia,257904.0,472,0.0
New Zealand,3862054.0,9286,0.0
Nicaragua,3482653.0,84415,0.45
Nigeria,27477112.0,851493,0.81
Niue,1799.0,4,0.0
Norfolk Island,2156.0,68,0.82
North Korea,17327483.0,304328,0.88
Northern Mariana Islands,106256.0,219,0.0
Norway,4131679.0,8403,0.0
Oman,2597556.0,4658,0.04
Pakistan,14581952.0,480493,0.86
Palau,23446.0,716,0.56
Palestine,3045258.0,5599,0.06
Panama,3249531.0,34388,0.18
Papua New Guinea,2747514.0,89835,0.86
Peru,13765608.0,194453,0.25
Philippines,83446862.0,1883659,0.81
Poland,3272933.0,15703,0.12
Portugal,8507951.0,16402,0.0
Puerto Rico,4249848.0,16517,0.02
Qatar,653007.0,758,0.0
Reunion,809426.0,847,0.0
Romania,875170.0,3610,0.26
Russia,10812537.0,80759,0.16
Saint Helena,6839.0,96,0.25
Saint Kitts and Nevis,36102.0,715,0.06
Saint Lucia,163227.0,6709,0.2
Saint Pierre and Miquelon,5888.0,11,0.0
Saint Vincent and the Grenadines,120149.0,2245,0.21
Samoa,168025.0,5122,0.8
Sao Tome and Principe,163740.0,5081,0.81
Saudi Arabia,3593471.0,20552,0.08
Senegal,8125063.0,254770,0.82
Seychelles,91361.0,4619,0.37
Sierra Leone,2887017.0,36408,0.84
Singapore,4492494.0,6472,0.0
Sint Maarten (Dutch part),37429.0,70,0.0
Slovenia,336594.0,556,0.01
Solomon Islands,618678.0,20394,0.86
Somalia,5971169.0,101531,0.85
South Africa,12899201.0,630005,0.54
South Korea,41654619.0,33747,0.0
Spain,22771488.0,45853,0.0
Sri Lanka,14568174.0,1591179,0.82
Sudan,752529.0,22928,0.8
Suriname,402263.0,3942,0.15
Sweden,6202234.0,2150,0.0
Syria,3621997.0,157904,0.65
Taiwan,22211567.0,45718,0.0
Tanzania,6688695.0,48586,0.84
Thailand,26043442.0,1027739,0.73
Togo,1991642.0,35401,0.84
Tokelau,1379.0,43,0.82
Tonga,102872.0,6624,0.78
Trinidad and Tobago,1358433.0,94066,0.03
Tunisia,7274973.0,234309,0.6
Turkey,34042862.0,485937,0.16
Turks and Caicos Islands,22570.0,49,0.0
Tuvalu,11563.0,457,0.73
Ukraine,6812799.0,128765,0.49
United Arab Emirates,2018302.0,3016,0.0
United Kingdom,43258889.0,67549,0.0
United States,112925034.0,275424,0.0
Uruguay,2433597.0,21562,0.08
Vanuatu,251851.0,22478,0.81
Venezuela,16094897.0,102333,0.05
Vietnam,55858245.0,1833819,0.86
Yemen,6048920.0,169181,0.73
