Entity,Code,Year,Oceans,Rivers and lakes
Americas (excl. USA),,2000,1104799,3986388
Americas (excl. USA),,2001,1198096,4271941
Americas (excl. USA),,2002,1298042,4576004
Americas (excl. USA),,2003,1404860,4896081
Americas (excl. USA),,2004,1519021,5235736
Americas (excl. USA),,2005,1640651,5589354
Americas (excl. USA),,2006,1770202,5963070
Americas (excl. USA),,2007,1908201,6357912
Americas (excl. USA),,2008,2053799,6750674
Americas (excl. USA),,2009,2207340,7154821
Americas (excl. USA),,2010,2369481,7583318
Americas (excl. USA),,2011,2540054,8024989
Americas (excl. USA),,2012,2719229,8476159
Americas (excl. USA),,2013,2906963,8939619
Americas (excl. USA),,2014,3103082,9408247
Americas (excl. USA),,2015,3308621,9900845
Americas (excl. USA),,2016,3522357,10389553
Americas (excl. USA),,2017,3744266,10880995
Americas (excl. USA),,2018,3974368,11380555
Americas (excl. USA),,2019,4212359,11886398
Asia (excl. China and India),,2000,1815446,5624027
Asia (excl. China and India),,2001,1982829,6066726
Asia (excl. China and India),,2002,2163942,6544227
Asia (excl. China and India),,2003,2359297,7054598
Asia (excl. China and India),,2004,2569963,7602656
Asia (excl. China and India),,2005,2795849,8181655
Asia (excl. China and India),,2006,3038253,8800673
Asia (excl. China and India),,2007,3298208,9461882
Asia (excl. China and India),,2008,3573056,10135043
Asia (excl. China and India),,2009,3863437,10839724
Asia (excl. China and India),,2010,4171954,11598776
Asia (excl. China and India),,2011,4498576,12397724
Asia (excl. China and India),,2012,4842883,13228620
Asia (excl. China and India),,2013,5206199,14099255
Asia (excl. China and India),,2014,5588882,15004411
Asia (excl. China and India),,2015,5992579,15957285
Asia (excl. China and India),,2016,6416541,16946236
Asia (excl. China and India),,2017,6862213,17985728
Asia (excl. China and India),,2018,7331971,19082068
Asia (excl. China and India),,2019,7819759,20188924
China,CHN,2000,683704,6677970
China,CHN,2001,767961,7404520
China,CHN,2002,860436,8187070
China,CHN,2003,961500,9019790
China,CHN,2004,1071655,9908770
China,CHN,2005,1191053,10840010
China,CHN,2006,1320356,11825540
China,CHN,2007,1459822,12865360
China,CHN,2008,1608863,13904850
China,CHN,2009,1767762,14970830
China,CHN,2010,1937053,16095289
China,CHN,2011,2116806,17254240
China,CHN,2012,2306800,18428210
China,CHN,2013,2506911,19606510
China,CHN,2014,2717307,20802120
China,CHN,2015,2937417,21990220
China,CHN,2016,3166844,23155390
China,CHN,2017,3404946,24293710
China,CHN,2018,3650379,25361890
China,CHN,2019,3904145,26455940
Europe,,2000,2108221,9576340
Europe,,2001,2236698,9976162
Europe,,2002,2369250,10380406
Europe,,2003,2505618,10784924
Europe,,2004,2645949,11191284
Europe,,2005,2789810,11592241
Europe,,2006,2937352,11992181
Europe,,2007,3088272,12390025
Europe,,2008,3241914,12764304
Europe,,2009,3398072,13125389
Europe,,2010,3556755,13484804
